state_id,state,year,kids,adults,retired,all
1,Alabama,1970,1854529,1265548,324277,3444354
1,Alabama,1971,1887880,1271008,338190,3497078
1,Alabama,1972,1909696,1281943,347762,3539401
1,Alabama,1973,1922269,1298573,358937,3579779
1,Alabama,1974,1939875,1315835,370791,3626501
1,Alabama,1975,1961900,1333001,383915,3678816
1,Alabama,1976,1986831,1353185,395123,3735139
1,Alabama,1977,1987426,1385840,407137,3780403
1,Alabama,1978,1994049,1418210,419579,3831838
1,Alabama,1979,1988925,1444961,432362,3866248
1,Alabama,1980,1992985,1464940,442443,3900368
1,Alabama,1981,1984913,1483248,450370,3918531
1,Alabama,1982,1966316,1499944,458969,3925229
1,Alabama,1983,1950420,1517740,465943,3934103
1,Alabama,1984,1935127,1542166,474533,3951826
1,Alabama,1985,1922712,1567006,482802,3972520
1,Alabama,1986,1909095,1591729,490738,3991562
1,Alabama,1987,1893095,1622429,499733,4015257
1,Alabama,1988,1870972,1646005,506871,4023848
1,Alabama,1989,1846167,1669449,514608,4030224
1,Alabama,1990,1816851,1709813,521844,4048508
1,Alabama,1991,1817090,1744811,529124,4091025
1,Alabama,1992,1820211,1781853,537205,4139269
1,Alabama,1993,1826883,1820979,545252,4193114
1,Alabama,1994,1827342,1854573,551050,4232965
1,Alabama,1995,1829600,1876350,556781,4262731
1,Alabama,1996,1825378,1903556,561469,4290403
1,Alabama,1997,1829732,1925513,565036,4320281
1,Alabama,1998,1824926,1959224,566887,4351037
1,Alabama,1999,1812789,1989121,567952,4369862
1,Alabama,2000,1863196,2044564,580880,4452173
1,Alabama,2001,1855135,2064560,583831,4467634
1,Alabama,2002,1848250,2081805,585605,4480089
1,Alabama,2003,1850019,2100703,590372,4503491
1,Alabama,2004,1855460,2118550,593826,4530729
1,Alabama,2005,1865967,2140855,602102,4569805
1,Alabama,2006,1888725,2166668,613080,4628981
1,Alabama,2007,1902911,2188880,622070,4672840
1,Alabama,2008,1916862,2210783,636944,4718206
1,Alabama,2009,1923275,2231035,649041,4757938
1,Alabama,2010,1922313,2247946,659822,4785298
2,Alaska,1970,194258,101532,6793,302583
2,Alaska,1971,199774,108517,7218,315509
2,Alaska,1972,203723,113267,7475,324465
2,Alaska,1973,205316,117360,7866,330542
2,Alaska,1974,209984,122796,8282,341062
2,Alaska,1975,230269,137107,8797,376173
2,Alaska,1976,245001,146742,9225,400968
2,Alaska,1977,244126,149501,9810,403437
2,Alaska,1978,243367,151012,10385,404764
2,Alaska,1979,238740,152942,11071,402753
2,Alaska,1980,240138,153429,11748,405315
2,Alaska,1981,242879,163110,12499,418488
2,Alaska,1982,255168,181117,13326,449611
2,Alaska,1983,271465,202726,14226,488417
2,Alaska,1984,280775,217527,15401,513703
2,Alaska,1985,287403,228613,16476,532492
2,Alaska,1986,291080,235742,17447,544269
2,Alaska,1987,286797,234086,18427,539310
2,Alaska,1988,283276,238913,19793,541982
2,Alaska,1989,283258,242765,21130,547153
2,Alaska,1990,286206,244452,22462,553120
2,Alaska,1991,288838,256336,24099,569273
2,Alaska,1992,291670,269888,25515,587073
2,Alaska,1993,292707,277277,27009,596993
2,Alaska,1994,290741,281555,28328,600624
2,Alaska,1995,286842,284656,29847,601345
2,Alaska,1996,287494,286444,30980,604918
2,Alaska,1997,291125,285502,32219,608846
2,Alaska,1998,297964,283741,33500,615205
2,Alaska,1999,303615,281135,34750,619500
2,Alaska,2000,290856,303970,36106,627963
2,Alaska,2001,291693,307470,37415,633714
2,Alaska,2002,294924,311596,38868,642337
2,Alaska,2003,296510,314832,40409,648414
2,Alaska,2004,300986,319438,42148,659286
2,Alaska,2005,303314,323411,43945,666946
