"fips","agegr","year","state","pop","age","popm","popf","state2"
2,"45-54",1970,"AK",26949,,,,"AK"
2,"62-64M",1970,"AK",1617,,,,"AK"
2,"18",1970,"AK",4938,,,,"AK"
2,"23",1970,"AK",7186,,,,"AK"
2,"24",1970,"AK",5470,,,,"AK"
2,"35-44",1970,"AK",38060,,,,"AK"
2,"17",1970,"AK",5314,,,,"AK"
2,"0-2",1970,"AK",19251,,,,"AK"
2,"25-29",1970,"AK",27051,,,,"AK"
2,"5-13",1970,"AK",64891,,,,"AK"
2,"15",1970,"AK",6024,,,,"AK"
2,"19",1970,"AK",5299,,,,"AK"
2,"21",1970,"AK",8750,,,,"AK"
2,"62-64F",1970,"AK",1242,,,,"AK"
2,"14",1970,"AK",6224,,,,"AK"
2,"22",1970,"AK",7873,,,,"AK"
2,"60-61",1970,"AK",2451,,,,"AK"
2,"3-4",1970,"AK",12909,,,,"AK"
2,"65+",1970,"AK",6793,,,,"AK"
2,"16",1970,"AK",5517,,,,"AK"
2,"30-34",1970,"AK",22655,,,,"AK"
2,"20",1970,"AK",7561,,,,"AK"
2,"55-59",1970,"AK",8558,,,,"AK"
1,"21",1970,"AL",57063,,,,"AL"
1,"18",1970,"AL",67025,,,,"AL"
1,"45-54",1970,"AL",373207,,,,"AL"
1,"62-64M",1970,"AL",39179,,,,"AL"
1,"24",1970,"AL",43660,,,,"AL"
1,"22",1970,"AL",57522,,,,"AL"
1,"17",1970,"AL",69032,,,,"AL"
1,"55-59",1970,"AL",168615,,,,"AL"
1,"35-44",1970,"AL",383147,,,,"AL"
1,"20",1970,"AL",61330,,,,"AL"
1,"14",1970,"AL",75084,,,,"AL"
1,"5-13",1970,"AL",644550,,,,"AL"
1,"60-61",1970,"AL",63368,,,,"AL"
1,"65+",1970,"AL",324277,,,,"AL"
1,"0-2",1970,"AL",178686,,,,"AL"
1,"25-29",1970,"AL",217050,,,,"AL"
1,"23",1970,"AL",55103,,,,"AL"
1,"62-64F",1970,"AL",46892,,,,"AL"
1,"15",1970,"AL",73659,,,,"AL"
1,"16",1970,"AL",70883,,,,"AL"
1,"30-34",1970,"AL",191140,,,,"AL"
1,"19",1970,"AL",61415,,,,"AL"
1,"3-4",1970,"AL",122467,,,,"AL"
5,"25-29",1970,"AR",115839,,,,"AR"
5,"19",1970,"AR",32283,,,,"AR"
5,"3-4",1970,"AR",63720,,,,"AR"
5,"23",1970,"AR",29542,,,,"AR"
5,"24",1970,"AR",22990,,,,"AR"
5,"17",1970,"AR",36722,,,,"AR"
5,"16",1970,"AR",38285,,,,"AR"
5,"20",1970,"AR",30784,,,,"AR"
5,"55-59",1970,"AR",101664,,,,"AR"
5,"0-2",1970,"AR",94367,,,,"AR"
5,"21",1970,"AR",30040,,,,"AR"
5,"62-64M",1970,"AR",26549,,,,"AR"
5,"30-34",1970,"AR",99014,,,,"AR"
5,"22",1970,"AR",29737,,,,"AR"
5,"60-61",1970,"AR",40242,,,,"AR"
5,"18",1970,"AR",35762,,,,"AR"
5,"45-54",1970,"AR",208150,,,,"AR"
5,"5-13",1970,"AR",343562,,,,"AR"
5,"65+",1970,"AR",236701,,,,"AR"
5,"35-44",1970,"AR",197799,,,,"AR"
5,"62-64F",1970,"AR",30715,,,,"AR"
5,"15",1970,"AR",39322,,,,"AR"
5,"14",1970,"AR",39533,,,,"AR"
4,"21",1970,"AZ",30473,,,,"AZ"
4,"3-4",1970,"AZ",63903,,,,"AZ"
4,"20",1970,"AZ",31655,,,,"AZ"
4,"62-64M",1970,"AZ",19534,,,,"AZ"
4,"55-59",1970,"AZ",79914,,,,"AZ"
4,"22",1970,"AZ",31118,,,,"AZ"
4,"19",1970,"AZ",31709,,,,"AZ"
4,"45-54",1970,"AZ",190466,,,,"AZ"
4,"30-34",1970,"AZ",100761,,,,"AZ"
