state,year,age_group,population
AK,1970,Kids,194258
AK,1970,Adults,101532
AK,1970,Retired,6793
AK,1971,Kids,199774
AK,1971,Adults,108517
AK,1971,Retired,7218
AK,1972,Kids,203723
AK,1972,Adults,113267
AK,1972,Retired,7475
AK,1973,Kids,205316
AK,1973,Adults,117360
AK,1973,Retired,7866
AK,1974,Kids,209984
AK,1974,Adults,122796
AK,1974,Retired,8282
AK,1975,Kids,230269
AK,1975,Adults,137107
AK,1975,Retired,8797
AK,1976,Kids,245001
AK,1976,Adults,146742
AK,1976,Retired,9225
AK,1977,Kids,244126
AK,1977,Adults,149501
AK,1977,Retired,9810
AK,1978,Kids,243367
AK,1978,Adults,151012
AK,1978,Retired,10385
AK,1979,Kids,238740
AK,1979,Adults,152942
AK,1979,Retired,11071
AK,1980,Kids,240138
AK,1980,Adults,153429
AK,1980,Retired,11748
AK,1981,Kids,242879
AK,1981,Adults,163110
AK,1981,Retired,12499
AK,1982,Kids,255168
AK,1982,Adults,181117
AK,1982,Retired,13326
AK,1983,Kids,271465
AK,1983,Adults,202726
AK,1983,Retired,14226
AK,1984,Kids,280775
AK,1984,Adults,217527
AK,1984,Retired,15401
AK,1985,Kids,287403
AK,1985,Adults,228613
AK,1985,Retired,16476
AK,1986,Kids,291080
AK,1986,Adults,235742
AK,1986,Retired,17447
AK,1987,Kids,286797
AK,1987,Adults,234086
AK,1987,Retired,18427
AK,1988,Kids,283276
AK,1988,Adults,238913
AK,1988,Retired,19793
AK,1989,Kids,283258
AK,1989,Adults,242765
AK,1989,Retired,21130
AL,1970,Kids,1854529
AL,1970,Adults,1265548
AL,1970,Retired,324277
AL,1971,Kids,1887880
AL,1971,Adults,1271008
AL,1971,Retired,338190
AL,1972,Kids,1909696
AL,1972,Adults,1281943
AL,1972,Retired,347762
AL,1973,Kids,1922269
AL,1973,Adults,1298573
AL,1973,Retired,358937
AL,1974,Kids,1939875
AL,1974,Adults,1315835
AL,1974,Retired,370791
AL,1975,Kids,1961900
AL,1975,Adults,1333001
AL,1975,Retired,383915
AL,1976,Kids,1986831
AL,1976,Adults,1353185
AL,1976,Retired,395123
AL,1977,Kids,1987426
AL,1977,Adults,1385840
AL,1977,Retired,407137
AL,1978,Kids,1994049
AL,1978,Adults,1418210
AL,1978,Retired,419579
AL,1979,Kids,1988925
AL,1979,Adults,1444961
AL,1979,Retired,432362
AL,1980,Kids,1992985
AL,1980,Adults,1464940
AL,1980,Retired,442443
AL,1981,Kids,1984913
AL,1981,Adults,1483248
AL,1981,Retired,450370
AL,1982,Kids,1966316
AL,1982,Adults,1499944
AL,1982,Retired,458969
AL,1983,Kids,1950420
AL,1983,Adults,1517740
AL,1983,Retired,465943
AL,1984,Kids,1935127
AL,1984,Adults,1542166
AL,1984,Retired,474533
AL,1985,Kids,1922712
AL,1985,Adults,1567006
AL,1985,Retired,482802
AL,1986,Kids,1909095
AL,1986,Adults,1591729
AL,1986,Retired,490738
AL,1987,Kids,1893095
AL,1987,Adults,1622429
AL,1987,Retired,499733
AL,1988,Kids,1870972
AL,1988,Adults,1646005
AL,1988,Retired,506871
AL,1989,Kids,1846167
AL,1989,Adults,1669449
AL,1989,Retired,514608
AR,1970,Kids,982488
AR,1970,Adults,704133
AR,1970,Retired,236701
AR,1971,Kids,1012846
AR,1971,Adults,713732
AR,1971,Retired,245734
AR,1972,Kids,1038104
AR,1972,Adults,726856
AR,1972,Retired,253679
AR,1973,Kids,1056178
AR,1973,Adults,742514
AR,1973,Retired,260566
AR,1974,Kids,1076749
AR,1974,Adults,757024
AR,1974,Retired,267630
AR,1975,Kids,1106009
AR,1975,Adults,777965
AR,1975,Retired,275551
AR,1976,Kids,1107368
AR,1976,Adults,779608
AR,1976,Retired,283187
AR,1977,Kids,1114554
AR,1977,Adults,802573
AR,1977,Retired,291883
AR,1978,Kids,1121556
AR,1978,Adults,822003
AR,1978,Retired,299566
AR,1979,Kids,1123724
AR,1979,Adults,840009
AR,1979,Retired,307602
AR,1980,Kids,1123408
AR,1980,Adults,851601
AR,1980,Retired,313729
AR,1981,Kids,1116459
AR,1981,Adults,859448
AR,1981,Retired,317288
AR,1982,Kids,1105723
AR,1982,Adults,866859
AR,1982,Retired,321680
AR,1983,Kids,1099904
AR,1983,Adults,879262
AR,1983,Retired,326588
AR,1984,Kids,1095613
AR,1984,Adults,894220
AR,1984,Retired,329941
AR,1985,Kids,1088929
AR,1985,Adults,904556
AR,1985,Retired,333559
AR,1986,Kids,1077918
AR,1986,Adults,916856
AR,1986,Retired,337216
AR,1987,Kids,1070535
AR,1987,Adults,931438
AR,1987,Retired,340386
AR,1988,Kids,1059087
AR,1988,Adults,940558
AR,1988,Retired,342993
AR,1989,Kids,1048237
AR,1989,Adults,951668
AR,1989,Retired,346482
AZ,1970,Kids,974712
AZ,1970,Adults,639524
AZ,1970,Retired,161163
AZ,1971,Kids,1040771
AZ,1971,Adults,679496
AZ,1971,Retired,175549
AZ,1972,Kids,1100110
AZ,1972,Adults,720356
